"StationName" "Latitude" "Longitude" "Elevation" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec"
"1" "AQC00914000" -14.3167 -170.7667 408.4 2116 2022 1840 1780 1820 1306 1274 1383 1570 2003 2036 2242
"2" "AQW00061705" -14.3306 -170.7136 3.7 1448 1266 1166 1102 1062 586 647 630 763 1011 1130 1452
"3" "CAW00064757" 44.2325 -79.7811 246 160 205 200 286 359 310 366 238 229 209 338 272
"4" "CQC00914080" 15.2136 145.7497 252.1 384 442 240 503 380 504 1016 1242 1165 1099 776 588
"5" "CQC00914801" 14.1717 145.2428 179.2 524 521 305 466 401 520 1071 1312 1386 1226 838 554
"6" "CQC00914855" 15.1189 145.7294 65.5 356 260 193 232 277 450 827 1215 1021 1132 592 421
"7" "CQC00914874" 15 145.6333 81.7 411 330 240 271 336 505 1043 1245 1246 1120 697 424
"8" "FMC00914213" 9.4508 138.062 15.2 726 587 645 487 841 1258 1497 1369 1241 1039 918 986
"9" "FMC00914325" 1.0833 154.8 2.7 1021 1027 1153 1212 1163 1317 1316 1051 928 810 968 874
"10" "FMC00914395" 5.3544 162.9533 2.1 1814 1360 1578 1952 1848 1558 1603 1481 1550 1152 1553 1885
"11" "FMC00914419" 5.5167 153.8167 1.5 920 981 1065 1186 1278 1197 1646 1418 1040 1125 1022 1122
"12" "FMC00914429" 9.4833 138.0833 10.1 767 632 567 587 835 1328 1539 1479 1418 1167 966 934
"13" "FMC00914446" 9.6053 138.1786 14.9 594 596 482 537 786 1050 1360 1531 1344 1083 893 859
"14" "FMC00914482" 6.8456 158.3064 9.1 1088 862 1107 1714 1573 1377 1399 1312 1250 1347 1419 1457
"15" "FMC00914585" 9.5742 138.1108 3 725 592 511 561 817 960 1395 1385 1272 1132 884 996
"16" "FMC00914590" 3.85 155.0167 2.4 1486 1330 1560 1543 1461 1286 1456 1278 1102 1031 1057 1070
"17" "FMC00914705" 6.9053 158.1586 45.7 1581 1192 1513 2029 1980 1973 1850 2277 2024 2007 1608 1382
"18" "FMC00914720" 6.2167 160.7 2.4 1271 1042 1250 1236 1324 1296 1310 1309 1424 1239 1308 1292
"19" "FMC00914761" 7.35 149.2 2.1 767 539 573 879 1016 1081 1050 936 883 938 745 657
"20" "FMC00914808" 9.6244 138.1592 19.8 658 583 521 536 711 1043 1578 1625 1298 1022 860 925
"21" "FMC00914831" 9.55 138.15 21.3 638 540 502 543 793 1292 1462 1476 1265 1111 869 900
"22" "FMC00914892" 10.0333 139.8 1.8 557 480 465 468 610 1025 1185 1561 1170 1028 891 712
"23" "FMC00914898" 5.2739 162.9742 4 1727 1280 1579 2045 1791 1645 1486 1411 1505 1281 1476 1746
"24" "FMC00914911" 7.3833 143.9167 2.1 752 612 820 843 1090 1248 1258 1494 1093 1004 856 951
"25" "FMW00040308" 9.4833 138.0833 13.4 730 599 534 572 850 1320 1504 1546 1376 1225 909 928
"26" "FMW00040504" 6.9667 158.2167 36.6 1321 1002 1413 1775 1835 1577 1609 1482 1490 1527 1500 1591
"27" "FMW00040505" 7.45 151.8333 1.5 1014 726 881 1222 1173 1221 1239 1348 1285 1140 1103 1102
"28" "GQC00914001" 13.3894 144.6575 3 390 358 259 324 457 712 1220 1760 1192 1140 867 671
"29" "GQC00914025" 13.5761 144.9281 190.2 497 512 244 385 401 719 1089 1474 1216 1102 922 625
